dataset,ph,method,improvement_vs_tgcn_pct,improvement_vs_nospatial_pct
losloop,1,T-GCN,0.0000,-49.9996
losloop,1,T-GCN-NoSpatial,33.3332,0.0000
losloop,1,T-GCN-GSL,25.6217,-11.5671
losloop,1,T-GCN-cGSL,26.1085,-10.8370
losloop,1,T-GCN-MultiGSL,38.5465,7.8200
losloop,1,T-GCN-MultiGSL-Weighted,38.6346,7.9521
losloop,1,T-GCN-MultiGSL-Mix,42.9813,14.4722
losloop,1,GCN,-3.3944,-55.0912
losloop,1,GCN-NoSpatial,38.0534,7.0803
losloop,1,GCN-GSL,0.6431,-49.0349
losloop,1,GCN-cGSL,26.8379,-9.7429
losloop,1,GCN-MultiGSL,-24.1570,-86.2350
losloop,2,T-GCN,0.0000,-41.2127
losloop,2,T-GCN-NoSpatial,29.1848,0.0000
losloop,2,T-GCN-GSL,22.5257,-9.4035
losloop,2,T-GCN-cGSL,21.8785,-10.3175
losloop,2,T-GCN-MultiGSL,33.0273,5.4260
losloop,2,T-GCN-MultiGSL-Weighted,33.1423,5.5885
losloop,2,T-GCN-MultiGSL-Mix,37.5986,11.8812
losloop,2,GCN,-4.9876,-48.2559
losloop,2,GCN-NoSpatial,31.0897,2.6899
losloop,2,GCN-GSL,-4.2536,-47.2193
losloop,2,GCN-cGSL,22.1613,-9.9182
losloop,2,GCN-MultiGSL,-23.5679,-74.4936
losloop,3,T-GCN,0.0000,-36.9670
losloop,3,T-GCN-NoSpatial,26.9897,0.0000
losloop,3,T-GCN-GSL,20.4624,-8.9403
losloop,3,T-GCN-cGSL,20.3010,-9.1613
losloop,3,T-GCN-MultiGSL,29.0092,2.7660
losloop,3,T-GCN-MultiGSL-Weighted,29.1731,2.9906
losloop,3,T-GCN-MultiGSL-Mix,33.7236,9.2232
losloop,3,GCN,-4.7459,-43.4674
losloop,3,GCN-NoSpatial,28.0247,1.4175
losloop,3,GCN-GSL,-0.9640,-38.2873
losloop,3,GCN-cGSL,20.1158,-9.4150
losloop,3,GCN-MultiGSL,-22.3891,-67.6326
losloop,4,T-GCN,0.0000,-31.6777
losloop,4,T-GCN-NoSpatial,24.0570,0.0000
losloop,4,T-GCN-GSL,18.6977,-7.0570
losloop,4,T-GCN-cGSL,18.1450,-7.7848
losloop,4,T-GCN-MultiGSL,27.7108,4.8113
losloop,4,T-GCN-MultiGSL-Weighted,27.7870,4.9117
losloop,4,T-GCN-MultiGSL-Mix,32.3403,10.9072
losloop,4,GCN,-1.2179,-33.2813
losloop,4,GCN-NoSpatial,27.7258,4.8311
losloop,4,GCN-GSL,-3.1656,-35.8460
losloop,4,GCN-cGSL,20.5387,-4.6328
losloop,4,GCN-MultiGSL,-18.6235,-56.2007
shenzhen,1,T-GCN,0.0000,-32.2660
shenzhen,1,T-GCN-NoSpatial,24.3948,0.0000
shenzhen,1,T-GCN-GSL,21.4403,-3.9078
shenzhen,1,T-GCN-cGSL,21.0762,-4.3894
shenzhen,1,T-GCN-MultiGSL,24.2047,-0.2515
shenzhen,1,T-GCN-MultiGSL-Weighted,24.2036,-0.2529
shenzhen,1,T-GCN-MultiGSL-Mix,24.4120,0.0228
shenzhen,1,GCN,-9.3656,-44.6536
shenzhen,1,GCN-NoSpatial,24.5038,0.1442
shenzhen,1,GCN-GSL,10.4414,-18.4556
shenzhen,1,GCN-cGSL,14.8298,-12.6512
shenzhen,1,GCN-MultiGSL,11.4863,-17.0735
shenzhen,2,T-GCN,0.0000,-33.4365
shenzhen,2,T-GCN-NoSpatial,25.0580,0.0000
shenzhen,2,T-GCN-GSL,22.3831,-3.5694
shenzhen,2,T-GCN-cGSL,21.9075,-4.2039
shenzhen,2,T-GCN-MultiGSL,25.0533,-0.0062
shenzhen,2,T-GCN-MultiGSL-Weighted,25.0515,-0.0087
shenzhen,2,T-GCN-MultiGSL-Mix,25.2597,0.2692
shenzhen,2,GCN,-7.6311,-43.6192
shenzhen,2,GCN-NoSpatial,25.1974,0.1860
shenzhen,2,GCN-GSL,11.5604,-18.0107
shenzhen,2,GCN-cGSL,15.7993,-12.3545
shenzhen,2,GCN-MultiGSL,12.5634,-16.6724
shenzhen,3,T-GCN,0.0000,-33.6303
shenzhen,3,T-GCN-NoSpatial,25.1666,0.0000
shenzhen,3,T-GCN-GSL,22.6567,-3.3541
shenzhen,3,T-GCN-cGSL,21.8123,-4.4825
shenzhen,3,T-GCN-MultiGSL,25.0188,-0.1975
shenzhen,3,T-GCN-MultiGSL-Weighted,25.0117,-0.2071
shenzhen,3,T-GCN-MultiGSL-Mix,25.4226,0.3421
shenzhen,3,GCN,-6.9201,-42.8777
shenzhen,3,GCN-NoSpatial,25.2502,0.1116
shenzhen,3,GCN-GSL,11.9905,-17.6074
shenzhen,3,GCN-cGSL,16.0789,-12.1440
shenzhen,3,GCN-MultiGSL,12.9145,-16.3726
shenzhen,4,T-GCN,0.0000,-33.3123
shenzhen,4,T-GCN-NoSpatial,24.9882,0.0000
shenzhen,4,T-GCN-GSL,22.4185,-3.4257
shenzhen,4,T-GCN-cGSL,21.6224,-4.4870
shenzhen,4,T-GCN-MultiGSL,24.9996,0.0151
shenzhen,4,T-GCN-MultiGSL-Weighted,24.9971,0.0118
shenzhen,4,T-GCN-MultiGSL-Mix,25.1299,0.1889
shenzhen,4,GCN,-6.5423,-42.0340
shenzhen,4,GCN-NoSpatial,25.1302,0.1893
shenzhen,4,GCN-GSL,11.9785,-17.3435
shenzhen,4,GCN-cGSL,16.0545,-11.9098
shenzhen,4,GCN-MultiGSL,12.9284,-16.0773
