dataset,model,pre_len,graph_type,graph_desc,RMSE,MAE,Accuracy,R2,elapsed,success
SZ-Taxi,GCN,1,physical,Physical graph baseline,5.96598482131958,4.422891616821289,0.5843026638031006,0.6739612817764282,3.8248183727264404,True
SZ-Taxi,GCN,1,sparse_random,Sparse random (same edge count as GSL),5.269397258758545,3.3785769939422607,0.6328394412994385,0.7457163333892822,3.5215847492218018,True
SZ-Taxi,GCN,1,gsl,DAGMA GSL,4.8709716796875,3.1402742862701416,0.6606009006500244,0.7827475666999817,3.5489439964294434,True
SZ-Taxi,GCN,1,dcg,DAGMA cGSL (symmetrized),4.641164779663086,3.0627169609069824,0.6766133904457092,0.8025833964347839,3.3277902603149414,True
SZ-Taxi,GCN,2,physical,Physical graph baseline,5.976044178009033,4.426705360412598,0.5835747718811035,0.6727148294448853,3.424947500228882,True
SZ-Taxi,GCN,2,sparse_random,Sparse random (same edge count as GSL),5.328749179840088,3.42586088180542,0.6286798715591431,0.7402335405349731,3.430631637573242,True
SZ-Taxi,GCN,2,gsl,DAGMA GSL,4.927511692047119,3.192451238632202,0.6566390991210938,0.7778429388999939,3.6329689025878906,True
SZ-Taxi,GCN,2,dcg,DAGMA cGSL (symmetrized),4.679704189300537,3.0600881576538086,0.6739069223403931,0.7993435263633728,3.6081483364105225,True
SZ-Taxi,GCN,3,physical,Physical graph baseline,5.992425441741943,4.443412780761719,0.5824176669120789,0.6709933876991272,3.434642791748047,True
SZ-Taxi,GCN,3,sparse_random,Sparse random (same edge count as GSL),5.318236827850342,3.4198904037475586,0.6293984651565552,0.7409543991088867,3.4535512924194336,True
SZ-Taxi,GCN,3,gsl,DAGMA GSL,4.926768779754639,3.185378074645996,0.6566779613494873,0.7777127027511597,3.654930353164673,True
SZ-Taxi,GCN,3,dcg,DAGMA cGSL (symmetrized),4.704265594482422,3.1050684452056885,0.6721831560134888,0.7971965670585632,3.3598239421844482,True
SZ-Taxi,GCN,4,physical,Physical graph baseline,6.002816200256348,4.452687740325928,0.5816783905029297,0.6698100566864014,3.611091375350952,True
SZ-Taxi,GCN,4,sparse_random,Sparse random (same edge count as GSL),5.347599029541016,3.4541776180267334,0.6273388862609863,0.738240122795105,3.5912630558013916,True
SZ-Taxi,GCN,4,gsl,DAGMA GSL,4.957554340362549,3.2234809398651123,0.6545201539993286,0.7750276327133179,3.7461392879486084,True
SZ-Taxi,GCN,4,dcg,DAGMA cGSL (symmetrized),4.7284932136535645,3.1100597381591797,0.670482873916626,0.7951410412788391,3.6470658779144287,True
SZ-Taxi,TGCN,1,physical,Physical graph baseline,4.813075065612793,3.495236396789551,0.6646350622177124,0.7882447242736816,30.207655906677246,True
SZ-Taxi,TGCN,1,sparse_random,Sparse random (same edge count as GSL),4.151074409484863,2.7572991847991943,0.7107618451118469,0.842076301574707,30.0943124294281,True
SZ-Taxi,TGCN,1,gsl,DAGMA GSL,4.211030960083008,2.776327610015869,0.7065842151641846,0.8374806046485901,29.226481676101685,True
SZ-Taxi,TGCN,1,dcg,DAGMA cGSL (symmetrized),4.207218647003174,2.770171880722046,0.7068498134613037,0.837791919708252,29.374801874160767,True
SZ-Taxi,TGCN,2,physical,Physical graph baseline,4.470120429992676,3.1837754249572754,0.6885112524032593,0.8168920874595642,29.372445344924927,True
SZ-Taxi,TGCN,2,sparse_random,Sparse random (same edge count as GSL),4.200734615325928,2.9293220043182373,0.7072826623916626,0.8387280702590942,29.54633593559265,True
SZ-Taxi,TGCN,2,gsl,DAGMA GSL,4.251497268676758,2.931640863418579,0.703745424747467,0.834640383720398,29.36829137802124,True
SZ-Taxi,TGCN,2,dcg,DAGMA cGSL (symmetrized),4.220937252044678,2.8820910453796387,0.7058749198913574,0.8367207050323486,29.347095727920532,True
SZ-Taxi,TGCN,3,physical,Physical graph baseline,4.779851913452148,3.434011220932007,0.6669158935546875,0.7928180694580078,29.403685569763184,True
SZ-Taxi,TGCN,3,sparse_random,Sparse random (same edge count as GSL),4.231736183166504,2.7972564697265625,0.7051113247871399,0.8362696170806885,29.36658549308777,True
SZ-Taxi,TGCN,3,gsl,DAGMA GSL,4.290263652801514,2.830209255218506,0.7010328769683838,0.8314339518547058,29.38515019416809,True
SZ-Taxi,TGCN,3,dcg,DAGMA cGSL (symmetrized),4.267347812652588,2.922468423843384,0.7026296854019165,0.8331939578056335,29.403566360473633,True
SZ-Taxi,TGCN,4,physical,Physical graph baseline,4.911637783050537,3.6305644512176514,0.6577199697494507,0.7791038155555725,29.3857479095459,True
SZ-Taxi,TGCN,4,sparse_random,Sparse random (same edge count as GSL),4.229044437408447,2.870070695877075,0.705288290977478,0.8361667394638062,30.26358151435852,True
SZ-Taxi,TGCN,4,gsl,DAGMA GSL,4.311160087585449,2.9119880199432373,0.6995657682418823,0.8297662734985352,30.799468278884888,True
SZ-Taxi,TGCN,4,dcg,DAGMA cGSL (symmetrized),4.300435543060303,2.9016003608703613,0.700313150882721,0.830556333065033,29.56391954421997,True
Los-loop,GCN,1,physical,Physical graph baseline,7.739781379699707,5.578332901000977,0.868267834186554,0.6879427433013916,2.4223520755767822,True
Los-loop,GCN,1,sparse_random,Sparse random (same edge count as GSL),9.493746757507324,6.5239577293396,0.8384150862693787,0.5398579835891724,2.3822829723358154,True
Los-loop,GCN,1,gsl,DAGMA GSL,7.560922622680664,4.991041660308838,0.8713120222091675,0.7053248882293701,2.303076982498169,True
Los-loop,GCN,1,dcg,DAGMA cGSL (symmetrized),5.40048360824585,3.3879098892211914,0.9080829620361328,0.8482927680015564,2.3632116317749023,True
Los-loop,GCN,2,physical,Physical graph baseline,7.954416751861572,5.7214131355285645,0.864599883556366,0.6706936359405518,2.3850011825561523,True
Los-loop,GCN,2,sparse_random,Sparse random (same edge count as GSL),9.809066772460938,6.869100570678711,0.8330300450325012,0.5030373334884644,2.476177453994751,True
Los-loop,GCN,2,gsl,DAGMA GSL,7.862486362457275,5.201396465301514,0.8661647439002991,0.6793402433395386,2.5064539909362793,True
Los-loop,GCN,2,dcg,DAGMA cGSL (symmetrized),5.8032612800598145,3.593851327896118,0.9012168645858765,0.8247542977333069,2.4475467205047607,True
Los-loop,GCN,3,physical,Physical graph baseline,8.147771835327148,5.862850666046143,0.8612932562828064,0.6549349427223206,2.513948678970337,True
Los-loop,GCN,3,sparse_random,Sparse random (same edge count as GSL),10.015576362609863,6.924446105957031,0.8294959664344788,0.48596692085266113,2.52590012550354,True
