dataset,ph,gcn,tgcn,gcn_mean,tgcn_mean,tgcn_minus_gcn_mean,tgcn_better_of_5,paired_t_p
losloop,1,GCN,T-GCN,8.144520,7.877140,-0.267380,0,0.066939
losloop,1,GCN-NoSpatial,T-GCN-NoSpatial,4.879620,5.251440,0.371820,5,0.040227
losloop,1,GCN-GSL,T-GCN-GSL,7.826480,5.858880,-1.967600,0,0.000013
losloop,1,GCN-cGSL,T-GCN-cGSL,5.763080,5.820540,0.057460,3,0.516043
losloop,1,GCN-MultiGSL,T-GCN-MultiGSL,9.780020,4.840780,-4.939240,0,0.000000
losloop,2,GCN,T-GCN,8.538560,8.132920,-0.405640,0,0.012361
losloop,2,GCN-NoSpatial,T-GCN-NoSpatial,5.604420,5.759340,0.154920,4,0.354596
losloop,2,GCN-GSL,T-GCN-GSL,8.478860,6.300920,-2.177940,0,0.000012
losloop,2,GCN-cGSL,T-GCN-cGSL,6.330560,6.353560,0.023000,3,0.867110
losloop,2,GCN-MultiGSL,T-GCN-MultiGSL,10.049680,5.446840,-4.602840,0,0.000001
losloop,3,GCN,T-GCN,8.764680,8.367560,-0.397120,0,0.040238
losloop,3,GCN-NoSpatial,T-GCN-NoSpatial,6.022580,6.109180,0.086600,3,0.492940
losloop,3,GCN-GSL,T-GCN-GSL,8.448220,6.655360,-1.792860,0,0.000038
losloop,3,GCN-cGSL,T-GCN-cGSL,6.684360,6.668860,-0.015500,2,0.897127
losloop,3,GCN-MultiGSL,T-GCN-MultiGSL,10.240980,5.940200,-4.300780,0,0.000000
losloop,4,GCN,T-GCN,8.764820,8.659360,-0.105460,2,0.494010
losloop,4,GCN-NoSpatial,T-GCN-NoSpatial,6.258480,6.576180,0.317700,5,0.029644
losloop,4,GCN-GSL,T-GCN-GSL,8.933480,7.040260,-1.893220,0,0.000033
losloop,4,GCN-cGSL,T-GCN-cGSL,6.880840,7.088120,0.207280,5,0.056990
losloop,4,GCN-MultiGSL,T-GCN-MultiGSL,10.272040,6.259780,-4.012260,0,0.000000
shenzhen,1,GCN,T-GCN,5.959640,5.449280,-0.510360,0,0.000394
shenzhen,1,GCN-NoSpatial,T-GCN-NoSpatial,4.114000,4.119940,0.005940,5,0.050955
shenzhen,1,GCN-GSL,T-GCN-GSL,4.880300,4.280940,-0.599360,0,0.000008
shenzhen,1,GCN-cGSL,T-GCN-cGSL,4.641160,4.300780,-0.340380,0,0.000027
shenzhen,1,GCN-MultiGSL,T-GCN-MultiGSL,4.823360,4.130300,-0.693060,0,0.000000
shenzhen,2,GCN,T-GCN,5.975160,5.551520,-0.423640,0,0.000305
shenzhen,2,GCN-NoSpatial,T-GCN-NoSpatial,4.152680,4.160420,0.007740,5,0.040744
shenzhen,2,GCN-GSL,T-GCN-GSL,4.909740,4.308920,-0.600820,0,0.000001
shenzhen,2,GCN-cGSL,T-GCN-cGSL,4.674420,4.335320,-0.339100,0,0.000001
shenzhen,2,GCN-MultiGSL,T-GCN-MultiGSL,4.854060,4.160680,-0.693380,0,0.000000
shenzhen,3,GCN,T-GCN,5.989260,5.601620,-0.387640,0,0.000051
shenzhen,3,GCN-NoSpatial,T-GCN-NoSpatial,4.187200,4.191880,0.004680,4,0.226667
shenzhen,3,GCN-GSL,T-GCN-GSL,4.929960,4.332480,-0.597480,0,0.000000
shenzhen,3,GCN-cGSL,T-GCN-cGSL,4.700940,4.379780,-0.321160,0,0.000008
shenzhen,3,GCN-MultiGSL,T-GCN-MultiGSL,4.878200,4.200160,-0.678040,0,0.000000
shenzhen,4,GCN,T-GCN,6.001080,5.632580,-0.368500,0,0.000135
shenzhen,4,GCN-NoSpatial,T-GCN-NoSpatial,4.217100,4.225100,0.008000,3,0.121122
shenzhen,4,GCN-GSL,T-GCN-GSL,4.957880,4.369840,-0.588040,0,0.000000
shenzhen,4,GCN-cGSL,T-GCN-cGSL,4.728300,4.414680,-0.313620,0,0.000001
shenzhen,4,GCN-MultiGSL,T-GCN-MultiGSL,4.904380,4.224460,-0.679920,0,0.000000
