dataset,ph,variant_id,method,family,graph,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,n_seeds,wins_vs_tgcn_of_5,n_edges
losloop,1,physical,T-GCN,T-GCN,physical road network,7.877140,0.283865,7.456200,8.186200,5.492520,0.207992,5.194700,5.739100,5,0,2833
losloop,1,no_spatial,T-GCN-NoSpatial,T-GCN,identity (no graph),5.251440,0.186250,4.970100,5.419000,3.062560,0.085166,2.946100,3.147400,5,5,207
losloop,1,gsl,T-GCN-GSL,T-GCN,DAGMA contemporaneous,5.858880,0.205802,5.499900,6.019200,3.690240,0.144674,3.451900,3.831100,5,5,28
losloop,1,cgsl,T-GCN-cGSL,T-GCN,"DAGMA contemporaneous, symmetrized",5.820540,0.228357,5.471900,6.101300,3.477340,0.128250,3.293800,3.651500,5,5,56
losloop,1,multi_gsl,T-GCN-MultiGSL,T-GCN,DAGMA multi-lag (fixed),4.840780,0.114613,4.733100,5.031300,2.820760,0.056346,2.760000,2.912500,5,5,30
losloop,1,multi_gsl_weighted,T-GCN-MultiGSL-Weighted,T-GCN,DAGMA multi-lag (learned global weights),4.833840,0.113420,4.726700,5.022000,2.813660,0.053961,2.755200,2.901500,5,5,30
losloop,1,multi_gsl_mix,T-GCN-MultiGSL-Mix,T-GCN,DAGMA multi-lag (per-node gating),4.491440,0.140346,4.289500,4.663700,2.731360,0.068227,2.626300,2.790300,5,5,30
losloop,1,gcn_physical,GCN,GCN,physical road network,8.144520,0.111755,7.999100,8.303800,5.787640,0.034398,5.745000,5.819900,5,0,2833
losloop,1,gcn_no_spatial,GCN-NoSpatial,GCN,identity (no graph),4.879620,0.306566,4.566200,5.267700,2.999800,0.205401,2.757700,3.282000,5,5,207
losloop,1,gcn_gsl,GCN-GSL,GCN,DAGMA contemporaneous,7.826480,0.105465,7.733900,7.947700,5.342320,0.079564,5.201100,5.394600,5,4,28
losloop,1,gcn_cgsl,GCN-cGSL,GCN,"DAGMA contemporaneous, symmetrized",5.763080,0.197123,5.573000,6.027900,3.650340,0.135991,3.483700,3.844000,5,5,56
losloop,1,gcn_multigsl,GCN-MultiGSL,GCN,DAGMA multi-lag union,9.780020,0.142220,9.611500,9.944900,6.601100,0.038364,6.551800,6.655200,5,0,28
losloop,2,physical,T-GCN,T-GCN,physical road network,8.132920,0.085117,8.030200,8.229600,5.652440,0.076797,5.563200,5.748600,5,0,2833
losloop,2,no_spatial,T-GCN-NoSpatial,T-GCN,identity (no graph),5.759340,0.083719,5.642600,5.855700,3.300340,0.064878,3.226900,3.386100,5,5,207
losloop,2,gsl,T-GCN-GSL,T-GCN,DAGMA contemporaneous,6.300920,0.060132,6.226400,6.374800,3.911640,0.078911,3.783100,3.984200,5,5,28
losloop,2,cgsl,T-GCN-cGSL,T-GCN,"DAGMA contemporaneous, symmetrized",6.353560,0.119685,6.211600,6.508300,3.762640,0.083170,3.676500,3.853000,5,5,56
losloop,2,multi_gsl,T-GCN-MultiGSL,T-GCN,DAGMA multi-lag (fixed),5.446840,0.135725,5.281000,5.597800,3.141000,0.078688,3.009000,3.217000,5,5,30
losloop,2,multi_gsl_weighted,T-GCN-MultiGSL-Weighted,T-GCN,DAGMA multi-lag (learned global weights),5.437480,0.132744,5.276300,5.584000,3.134260,0.077897,3.004100,3.210700,5,5,30
losloop,2,multi_gsl_mix,T-GCN-MultiGSL-Mix,T-GCN,DAGMA multi-lag (per-node gating),5.075060,0.148627,4.852600,5.232500,2.989120,0.102018,2.838800,3.091600,5,5,30
losloop,2,gcn_physical,GCN,GCN,physical road network,8.538560,0.279025,8.177000,8.868500,6.007340,0.159437,5.804800,6.200400,5,0,2833
losloop,2,gcn_no_spatial,GCN-NoSpatial,GCN,identity (no graph),5.604420,0.386047,5.093000,6.105300,3.390080,0.235850,3.036000,3.607400,5,5,207
losloop,2,gcn_gsl,GCN-GSL,GCN,DAGMA contemporaneous,8.478860,0.212138,8.245500,8.792800,5.676600,0.135072,5.489800,5.852800,5,0,28
losloop,2,gcn_cgsl,GCN-cGSL,GCN,"DAGMA contemporaneous, symmetrized",6.330560,0.319641,5.940200,6.780700,3.965300,0.190879,3.689800,4.175700,5,5,56
losloop,2,gcn_multigsl,GCN-MultiGSL,GCN,DAGMA multi-lag union,10.049680,0.163674,9.917500,10.244000,6.760620,0.052287,6.708500,6.830800,5,0,28
losloop,3,physical,T-GCN,T-GCN,physical road network,8.367560,0.174136,8.246500,8.668600,5.754780,0.140953,5.611300,5.990700,5,0,2833
losloop,3,no_spatial,T-GCN-NoSpatial,T-GCN,identity (no graph),6.109180,0.074103,6.034200,6.229000,3.490400,0.073771,3.418000,3.613900,5,5,207
losloop,3,gsl,T-GCN-GSL,T-GCN,DAGMA contemporaneous,6.655360,0.116220,6.567200,6.853200,4.119860,0.033302,4.085700,4.170000,5,5,28
losloop,3,cgsl,T-GCN-cGSL,T-GCN,"DAGMA contemporaneous, symmetrized",6.668860,0.112013,6.532400,6.844400,3.937560,0.085006,3.856200,4.077500,5,5,56
losloop,3,multi_gsl,T-GCN-MultiGSL,T-GCN,DAGMA multi-lag (fixed),5.940200,0.028481,5.909400,5.975600,3.345060,0.024041,3.321700,3.384600,5,5,30
losloop,3,multi_gsl_weighted,T-GCN-MultiGSL-Weighted,T-GCN,DAGMA multi-lag (learned global weights),5.926480,0.025645,5.902800,5.967400,3.326680,0.027257,3.285600,3.360700,5,5,30
